ID,Word 1,Word 2,PoS,participant 1,participant 2,participant 3,participant 4,participant 5,participant 6,participant 7,participant 8,participant 9,participant 10
412,adulte,bébé,nouns,0,3,2,1,2,3,4,2,1,4
413,juge,tribunal,nouns,0,4,3,4,3,4,4,3,5,3
414,infraction,violation,nouns,4,6,4,5,5,5,6,6,6,6
415,whisky,champagne,nouns,2,5,3,3,2,3,5,3,3,4
416,manuel,guide,nouns,6,6,5,5,6,5,5,6,6,6
417,accident,registre,nouns,0,2,1,1,1,1,0,0,0,0
418,étain,métal,nouns,2,5,3,3,3,3,5,3,4,5
419,mode,haute-couture,nouns,5,5,3,6,4,5,4,3,5,5
420,apocalypse,feu,nouns,1,5,3,2,1,1,1,0,0,3
421,clavier,lumière,nouns,0,1,1,0,0,0,0,0,0,0
422,frère,fils,nouns,1,3,1,1,3,4,4,2,1,4
423,ouvrier,employeur,nouns,0,4,2,2,2,3,1,2,1,4
424,préchauffage,réchauffage,nouns,2,4,3,3,3,4,4,5,4,5
425,chapitre,queue,nouns,0,0,0,0,0,0,0,0,0,0
426,mort,catastrophe,nouns,0,4,5,1,4,2,1,2,3,5
427,mur,décoration,nouns,0,4,3,1,3,1,2,1,1,3
428,atmosphère,ozone,nouns,5,4,4,3,4,4,4,4,5,4
429,alcool,groupe,nouns,0,1,1,0,0,0,0,0,0,1
430,volonté,intention,nouns,6,6,5,5,6,5,5,6,6,6
431,réalité,illusion,nouns,0,4,3,2,1,3,4,2,1,3
432,moteur,bateau,nouns,0,4,3,2,3,1,1,1,1,2
433,décomposition,factorisation,nouns,2,3,3,3,1,5,5,3,1,4
434,sonnette,porte,nouns,1,4,3,2,2,3,1,2,2,3
435,masque,fête,nouns,0,4,2,1,2,4,1,2,0,3
436,plage,île,nouns,1,4,3,1,2,4,4,2,1,4
437,château,sculpteur,nouns,0,3,1,0,1,0,0,0,0,1
438,application,galaxie,nouns,0,1,0,1,0,0,0,0,0,0
439,mort,tragédie,nouns,2,4,5,2,4,3,1,2,5,5
440,électricité,boîtier,nouns,0,3,2,2,1,2,1,0,1,1
441,livre,bible,nouns,3,5,2,4,3,4,5,2,5,4
442,crayon,histoire,nouns,0,2,0,0,0,0,1,1,0,0
443,nuage,fenêtre,nouns,0,2,2,1,0,1,1,1,0,0
444,sécheresse,eau,nouns,0,4,3,2,1,3,2,2,1,2
445,pièce de monnaie,paiement,nouns,1,5,2,3,5,4,3,3,2,4
446,réalisateur,cinématographie,nouns,1,4,3,2,4,1,1,3,1,4
447,fleur,violette,nouns,3,5,3,3,4,4,4,3,5,4
448,cousin,oncle,nouns,1,4,3,2,2,4,4,3,2,4
449,réinhumation,tombe,nouns,2,4,2,3,2,3,1,2,1,3
450,chanson,interprète,nouns,1,4,4,2,2,3,1,2,1,4
451,policier,politicien,nouns,0,3,2,1,1,2,1,1,1,4
452,niveau,résultat,nouns,0,4,3,4,0,5,4,0,2,3
453,valeur,croyance,nouns,4,4,0,3,2,0,4,3,5,5
454,règle,usage,nouns,4,5,4,4,2,6,5,5,6,6
455,saccharose,glucide,nouns,5,5,5,5,4,5,4,5,5,5
456,coucher de soleil,soir,nouns,1,5,4,4,2,5,4,2,4,5
457,procès,jugement,nouns,5,6,4,5,6,6,6,6,6,5
458,honneur,estime,nouns,1,5,5,5,4,5,3,3,4,4
459,avion,aéroport,nouns,1,4,3,2,4,4,2,2,2,3
460,blizzard,pluie,nouns,2,4,3,3,3,4,3,2,3,4
461,faillite,échec,nouns,5,5,4,5,4,5,5,6,6,5
462,boîte,cabine,nouns,1,0,2,3,0,3,3,3,3,2
463,tâche,femme,nouns,0,0,1,0,0,0,0,0,0,0
464,preuve,fait,nouns,3,4,5,4,5,2,4,4,4,5
465,entraîneur,joueur,nouns,1,3,3,2,2,4,3,2,2,4
466,foie,poumon,nouns,2,3,3,2,2,4,4,2,1,3
467,gorge,nez,nouns,2,3,3,3,2,3,4,2,1,3
468,motel,auberge,nouns,3,4,3,4,5,5,4,6,5,4
469,pot,dispositif,nouns,0,1,0,0,0,0,0,0,0,0
470,guitare,violon,nouns,2,3,3,3,2,4,4,3,2,4
471,force,puissance,nouns,6,6,4,6,6,5,6,6,6,5
472,discussion,accord,nouns,2,3,4,3,4,4,3,3,4,4
473,dieu,proie,nouns,0,0,0,0,0,0,0,0,1,0
474,trône,épée,nouns,0,1,2,1,1,1,0,1,0,3
475,oeuvre,artiste,nouns,1,3,4,2,4,3,2,2,1,3
476,centime,taille,nouns,0,0,0,0,0,1,0,0,0,0
477,menthe,musée,nouns,0,0,0,0,0,0,0,0,0,0
478,succès,cadre,nouns,0,0,0,0,0,0,0,0,0,2
479,oiseau,poule,nouns,2,4,2,2,2,4,4,3,4,3
480,pistolet,canon,nouns,1,3,3,2,4,3,4,3,4,4
481,delta,mer,nouns,0,4,3,1,2,3,3,2,3,2
482,suprématie,omnipotence,nouns,3,4,5,5,5,5,5,6,5,5
483,Week-end,course,nouns,0,2,1,0,0,1,0,0,0,1
484,criquet,supporter,nouns,0,1,2,1,1,1,0,1,0,0
485,sultan,ministère,nouns,0,1,0,1,1,1,2,1,0,3
486,programme,examen,nouns,2,3,3,1,2,2,1,0,1,3
487,infraction,fraude,nouns,3,6,4,5,4,4,4,4,5,6
488,employeur,employé,nouns,2,4,3,2,2,4,4,3,1,4
489,verre,cristal,nouns,2,4,3,4,4,3,4,4,4,3
490,voiture,tuyau,nouns,0,1,1,0,0,0,0,0,0,0
491,sol,plafond,nouns,0,3,2,1,2,3,4,1,1,4
492,os,mâchoire,nouns,2,4,2,2,3,2,3,2,3,4
493,cytoplasme,chiffre,nouns,0,0,0,0,0,0,0,0,0,0
494,brèche,ouverture,nouns,6,5,5,6,6,5,5,6,6,4
495,théâtre,batterie,nouns,0,1,0,0,0,0,0,0,0,0
496,alcool,vin,nouns,3,4,3,5,4,4,4,3,3,3
497,mort,enterrement,nouns,1,5,4,4,3,4,3,3,3,4
498,houille,charbon,nouns,2,6,3,6,6,6,5,1,6,5
499,corps,poitrine,nouns,1,3,3,2,2,4,3,2,2,3
500,compétence,aptitude,nouns,6,5,5,6,6,6,6,6,6,6
501,protestant,chrétien,nouns,3,5,3,2,2,4,4,4,5,5
502,maison,tapis,nouns,0,2,2,1,1,2,1,1,1,2
503,faute,système,nouns,0,2,1,1,0,0,0,0,0,0
504,moteur,turbine,nouns,1,5,4,6,4,2,3,3,5,4
505,procureur,avocat,nouns,1,3,4,4,2,4,3,2,3,5
506,danger,menace,nouns,6,6,4,5,5,6,6,6,6,6
507,mot,dictionnaire,nouns,1,4,3,2,4,4,1,2,2,4
508,veau,taureau,nouns,3,3,3,4,2,4,4,1,3,4
509,baignoire,femme,nouns,0,0,1,0,0,0,0,0,0,0
510,crochet,uniforme,nouns,0,1,0,0,0,0,0,0,0,0
511,croyance,fleur,nouns,0,0,0,0,0,0,0,0,0,0
512,poule,dinde,nouns,3,3,3,4,2,4,4,2,5,4
513,racine,herbe,nouns,2,3,3,3,3,2,2,2,3,3
514,intelligence,perspicacité,nouns,1,5,5,5,5,5,5,5,5,4
515,nature,flore,nouns,2,3,3,4,4,5,4,3,6,4
516,blitz,attaque,nouns,1,2,3,4,2,4,6,2,0,5
517,alcool,cognac,nouns,2,4,3,5,3,4,4,3,4,4
518,papillon,rose,nouns,0,0,1,1,1,2,0,1,0,1
519,haricot,café,nouns,0,1,0,0,0,2,1,1,0,2
520,engrais,croissance,nouns,0,4,3,2,2,3,1,2,1,3
521,ballon,sphère,nouns,2,3,2,3,2,3,3,5,3,3
522,historien,historiographe,nouns,1,6,4,6,4,5,4,4,5,4
523,hymne,conquête,nouns,0,2,3,2,0,0,0,0,0,1
524,alcool,whisky,nouns,2,4,3,4,3,4,4,3,4,4
525,matrice,molécule,nouns,0,1,1,0,0,1,1,0,0,0
526,nuage,brume,nouns,2,5,4,3,2,4,3,3,3,5
527,chauve-souris,vampire,nouns,1,5,2,5,3,2,3,2,3,4
528,choix,élection,nouns,3,4,4,4,3,4,3,4,5,4
529,boeuf,viande,nouns,2,4,3,4,4,4,4,2,5,4
530,amant,compagnon,nouns,4,4,4,4,4,5,4,4,5,5
531,médecin,docteur,nouns,6,6,5,6,6,6,6,6,6,5
532,voyage,promenade,nouns,3,3,3,4,5,5,3,2,5,5
533,émotion,passion,nouns,2,4,4,4,4,4,4,3,4,5
534,médecin,caractère,nouns,0,0,0,0,0,0,0,0,0,0
535,topologie,structure,nouns,1,4,2,5,4,3,5,5,4,4
536,patient,session,nouns,0,0,0,1,0,0,0,1,0,0
537,drapeau,mât,nouns,1,3,2,2,2,1,2,3,1,3
538,rythme,cadence,nouns,5,6,5,6,6,6,6,6,6,6
539,suffrage,sortie,nouns,0,2,0,0,0,3,0,0,0,1
540,livre,manuscrit,nouns,2,4,4,4,6,5,5,4,6,4
541,ignorance,intelligence,nouns,0,3,3,1,2,3,4,2,1,3
542,bacon,haricot,nouns,0,1,1,1,1,3,3,1,1,1
543,lycée,cours,nouns,2,4,2,2,2,5,2,3,3,4
544,polyester,coton,nouns,2,3,2,2,1,4,4,1,3,3
545,grippe,fièvre,nouns,1,4,3,3,3,4,5,3,3,3
546,bras,épaule,nouns,1,4,3,3,2,4,3,3,2,4
547,dollar,personne,nouns,0,0,0,0,0,0,0,1,0,0
548,richesse,prestige,nouns,4,3,4,1,0,2,3,3,3,4
549,vache,bétail,nouns,5,4,3,4,5,4,4,3,5,4
550,cheval,jument,nouns,5,5,3,4,3,5,4,5,6,5
551,sortie,porte,nouns,2,4,3,1,2,4,3,4,6,4
552,mutant,sociobiologie,nouns,0,1,0,0,1,0,0,1,0,2
553,marteau,dent,nouns,0,0,0,0,0,0,0,0,0,0
554,criminel,délinquant,nouns,2,6,4,6,6,6,4,5,6,5
555,tradition,artisanat,nouns,2,2,4,1,4,5,2,2,5,5
556,parent,adulte,nouns,3,3,4,3,4,5,4,4,4,4
557,intelligence,compétence,nouns,2,3,4,4,4,5,4,3,4,4
558,mot,indice,nouns,1,3,2,1,1,4,1,0,1,2
559,gagnant,objectif,nouns,0,2,2,1,1,3,0,1,0,3
560,religion,laïc,nouns,0,3,3,1,1,3,1,2,1,4
561,basilique,mosaïque,nouns,0,2,2,0,1,1,0,0,0,2
562,astuce,taille,nouns,0,0,0,0,0,0,0,0,0,0
563,diplomatie,négociation,nouns,4,5,3,4,5,4,1,3,5,4
564,bourrasque,vent,nouns,3,5,4,4,6,5,5,0,5,5
565,salle de cours,couloir,nouns,0,2,2,0,2,1,2,0,1,2
566,surface,zone,nouns,1,4,2,4,6,4,3,2,6,5
567,ruelle,bol,nouns,0,0,0,0,0,0,0,0,0,0
568,étain,aluminium,nouns,1,3,2,3,1,3,4,2,3,4
569,extraterrestre,étranger,nouns,4,3,3,3,3,4,5,3,3,3
570,bourse d'étude,frais de scolarité,nouns,1,3,3,2,1,3,3,2,1,4
571,agriculture,monoculture,nouns,4,3,2,2,3,4,5,4,4,5
572,fleur,longévité,nouns,0,1,1,1,0,0,0,1,0,0
573,doigt,paume,nouns,1,3,2,2,2,3,2,3,2,2
574,sagesse,intelligence,nouns,2,3,5,4,4,5,5,3,6,5
575,tabac,cigarette,nouns,5,4,4,4,4,5,5,4,6,4
576,chalet,hutte,nouns,2,3,1,4,5,4,5,1,4,4
577,aigle,faucon,nouns,3,5,5,4,3,4,4,2,5,4
578,compositeur,écrivain,nouns,5,3,2,3,3,4,5,3,6,4
579,maladie,infection,nouns,4,4,4,4,6,5,5,3,5,5
580,vitesse,courrier,nouns,0,0,0,0,0,0,0,0,0,0
581,copilote,cockpit,nouns,0,3,2,1,2,2,1,3,1,3
582,oncle,tante,nouns,5,3,2,2,3,5,5,5,4,5
583,pied,base,nouns,2,5,1,3,0,5,5,1,6,3
584,lycée,profession,nouns,0,2,2,0,1,2,1,2,0,2
585,os,coude,nouns,0,4,2,1,4,2,2,3,2,3
586,manette,radar,nouns,0,1,0,0,0,0,0,0,1,0
587,bras,veine,nouns,0,3,2,1,1,2,1,2,1,2
588,bas,haut,nouns,1,3,3,1,1,3,5,3,1,4
589,centime,occasion,nouns,0,1,2,0,0,0,0,0,0,0
590,marine,île,nouns,0,3,2,1,1,1,1,1,1,2
591,outil,emploi,nouns,0,2,0,0,1,2,0,0,0,3
592,rendez-vous,engagement,nouns,3,4,2,2,2,5,4,2,5,5
593,nord,ouest,nouns,1,3,2,1,1,4,5,3,1,4
594,étudiant,professeur,nouns,1,4,3,1,2,4,4,3,1,4
595,pécheur,saint,nouns,0,1,1,0,1,3,3,3,1,4
596,ballon,panier,nouns,0,3,2,1,1,2,0,1,1,2
597,humeur,émotion,nouns,2,4,3,2,3,4,4,5,6,5
598,estomac,chambre,nouns,1,0,0,0,0,0,0,0,0,0
599,petit déjeuner,bacon,nouns,0,3,2,1,3,1,2,2,1,1
600,civilisation,mode de vie,nouns,0,4,3,3,3,2,1,2,5,5
601,chien,chat,nouns,1,4,3,2,1,4,4,2,1,3
602,croyance,concept,nouns,1,4,3,2,0,4,4,3,3,5
603,pacte,accord,nouns,5,5,5,6,6,6,5,6,6,6
604,pluie,brume,nouns,1,4,3,3,4,4,3,3,4,4
605,roman,écrivain,nouns,0,4,3,2,2,3,1,3,1,3
606,portable,téléphone,nouns,6,6,5,6,5,6,6,6,6,5
607,armée,section,nouns,1,4,3,2,1,3,4,1,3,4
608,adjoint,officier,nouns,1,3,2,2,1,2,4,2,2,4
609,arbre,feuille,nouns,1,3,3,1,2,3,2,3,2,4
610,volley-ball,ballon,nouns,0,3,2,1,2,3,2,2,1,4
611,voiture,vélo,nouns,1,3,2,2,1,4,3,2,1,3
612,suite,appareil photo,nouns,0,1,0,0,0,1,1,0,0,0
613,longévité,groupe,nouns,0,1,0,0,0,1,0,0,0,0
614,infirmier,scientifique,nouns,0,3,1,1,1,2,1,1,1,3
615,surface,coin,nouns,0,3,1,0,0,1,1,2,1,2
616,paiement,billet,nouns,0,4,2,2,4,4,3,4,1,4
617,jus,milk-shake,nouns,0,3,2,2,1,4,4,3,3,4
618,mur,brique,nouns,1,4,2,1,3,3,0,3,1,4
619,nuage,brouillard,nouns,2,4,4,3,2,4,2,3,3,5
620,rivière,ruisseau,nouns,5,5,4,4,4,5,4,4,5,5
621,balustrade,barrière,nouns,5,6,3,3,5,6,4,4,6,4
622,reflet,image,nouns,4,5,4,5,4,6,4,3,5,3
623,whisky,gin,nouns,2,4,3,4,1,4,4,3,3,4
624,cor,tambour,nouns,1,3,3,1,1,4,4,2,1,3
625,téléphone,cabine,nouns,0,3,3,1,1,2,1,1,1,2
626,persil,muffin,nouns,0,2,0,0,0,1,1,1,0,1
627,argent,diamant,nouns,0,2,4,1,3,3,3,3,1,4
628,sucre,miel,nouns,1,3,3,2,4,4,3,3,2,4
629,vêtement,chiffon,nouns,0,3,2,2,2,3,2,2,4,3
630,estomac,taille,nouns,0,0,0,0,0,0,0,1,1,0
631,voiture,jauge,nouns,0,1,1,1,1,1,0,2,0,0
632,liberté,possibilité,nouns,2,4,4,3,6,5,4,3,5,4
633,attention,intérêt,nouns,2,5,4,3,6,5,4,6,5,6
634,flic,shérif,nouns,4,6,2,4,4,4,4,4,4,4
635,tempête,couverture,nouns,0,0,1,0,0,0,0,0,0,0
636,bonheur,chance,nouns,2,4,3,4,4,4,1,0,2,2
637,source,boîte,nouns,0,0,0,0,0,0,0,0,0,0
638,décennie,siècle,nouns,1,4,2,1,4,3,5,2,3,5
639,chat,lion,nouns,2,3,2,1,4,3,4,3,3,4
640,armée,légion,nouns,4,4,2,2,4,4,4,4,5,4
641,hélicoptère,avion,nouns,2,4,3,3,3,4,4,4,2,4
642,cheval,poulain,nouns,5,4,3,3,3,5,5,5,5,5
643,jeans,femme,nouns,0,0,1,0,0,0,0,0,0,0
644,adversaire,opposant,nouns,6,6,4,5,6,6,6,6,6,6
645,plafond,cathédrale,nouns,0,0,2,0,1,1,0,0,0,1
646,abeille,reine,nouns,0,3,3,2,1,4,1,2,1,4
647,œil,larme,nouns,0,4,3,1,1,2,0,3,1,3
648,bras,poignet,nouns,1,4,3,2,1,3,2,3,3,3
649,barres,saut d'obstacles,nouns,1,3,1,1,1,4,0,1,4,5
650,livre,information,nouns,1,3,3,1,3,2,2,2,1,4
651,bouclier,armure,nouns,4,4,3,3,2,4,5,3,5,4
652,dieu,esprit,nouns,3,3,2,2,4,4,2,3,4,3
653,communication,conversation,nouns,3,5,3,4,6,5,5,3,5,5
654,espace,région,nouns,1,4,2,3,4,1,4,2,5,4
655,jet,fluide,nouns,1,1,1,1,1,2,0,2,3,5
656,communication,langage,nouns,2,5,5,2,4,2,4,4,4,5
657,coureur,athlète,nouns,1,6,3,2,4,4,5,3,5,5
658,saynète,performance,nouns,5,4,3,3,1,4,4,2,5,4
659,chagrin,honte,nouns,1,3,2,2,2,4,3,1,2,4
660,blé,maïs,nouns,1,4,4,2,1,4,4,2,4,4
661,train,tramway,nouns,5,4,4,3,3,5,5,4,5,5
662,hiver,été,nouns,1,3,3,1,1,4,5,3,2,4
663,wagon,récipient,nouns,0,1,0,0,1,0,2,0,0,0
664,sonnet,beauté,nouns,0,2,3,0,1,1,0,1,0,0
665,ami,mec,nouns,0,3,2,1,4,4,3,1,6,3
666,pistolet,aube,nouns,0,1,0,0,0,0,0,0,0,0
667,maison,état,nouns,0,0,0,0,0,0,1,0,0,0
668,pièce,échouage,nouns,1,1,1,1,2,3,2,2,2,1
669,canette,bouteille,nouns,2,5,2,4,2,5,4,2,5,3
670,fièvre,maladie,nouns,2,5,3,3,4,4,3,3,4,4
671,dieu,diable,nouns,1,3,2,2,1,3,3,4,2,4
672,femme,fourrure,nouns,0,0,2,1,0,0,0,1,0,1
673,avion,feuille,nouns,0,0,0,0,0,0,1,0,0,0
674,bière,boisson,nouns,6,4,2,2,4,4,4,3,4,4
675,légende,morale,nouns,0,3,2,3,2,1,1,1,1,4
676,bateau,pont,nouns,0,3,2,1,2,3,1,1,1,3
677,bateau,ancre,nouns,0,3,3,2,2,3,1,2,1,4
678,camion,paquet,nouns,0,0,0,0,1,0,0,1,0,0
679,porte,sol,nouns,0,2,1,0,1,2,1,0,0,0
680,comportementalisme,thérapie,nouns,0,3,1,1,3,4,2,3,2,4
681,souris,gestion,nouns,0,0,0,0,0,0,0,0,0,0
682,ordinateur portable,tablette,nouns,0,4,3,4,4,5,4,3,4,4
683,porte-monnaie,sac,nouns,0,4,2,1,3,3,4,2,3,4
684,marijuana,herbe,nouns,6,6,5,5,6,6,6,6,6,5
685,élève,président,nouns,0,2,0,0,2,2,1,1,1,3
686,allée,couloir,nouns,5,5,0,3,5,5,5,6,3,3
687,pomme,citron,nouns,1,4,2,1,1,4,4,2,2,4
688,toit,sol,nouns,0,3,1,1,1,4,3,1,1,4
689,poulet,riz,nouns,0,3,1,1,1,3,2,1,0,2
690,muscle,langue,nouns,4,5,1,1,4,5,3,4,3,4
691,paiement,récompense,nouns,2,5,3,4,4,4,4,2,5,4
692,maison,clé,nouns,0,2,2,1,2,2,1,2,1,2
693,salle de bain,cuisine,nouns,1,3,2,1,2,3,4,3,2,4
694,bataille,conquête,nouns,2,4,3,2,4,4,4,4,3,5
695,mariée,princesse,nouns,2,3,3,1,3,4,3,1,1,3
696,muscle,os,nouns,0,3,3,1,1,4,4,2,2,3
697,ventre,abdomen,nouns,5,6,3,4,5,6,6,5,6,6
698,nuit,aube,nouns,1,4,2,1,2,4,4,2,1,4
699,pluie,grêle,nouns,4,4,3,4,3,5,4,2,3,4
700,prophète,prêtre,nouns,0,3,2,2,2,4,3,3,3,3
701,soleil couchant,chaîne,nouns,0,0,0,0,0,0,0,0,0,0
702,allée,entrée,nouns,4,3,0,1,1,3,3,1,1,0
703,lit,hôpital,nouns,0,3,2,2,2,1,2,1,0,3
704,voiture,pont,nouns,0,3,1,1,1,0,0,0,0,0
705,agriculture,plante,nouns,0,3,2,1,1,2,1,2,2,4
706,écosystème,économie,nouns,3,3,1,1,1,3,0,0,0,3
707,pistolet,portable,nouns,0,0,0,0,0,0,0,1,0,1
708,livre,dissertation,nouns,0,3,1,2,1,1,1,1,1,2
709,viande,lard,nouns,3,4,2,2,4,4,4,3,4,4
710,chaise,tabouret,nouns,4,4,3,2,3,5,5,5,6,5
711,soir,crépuscule,nouns,6,5,3,4,5,5,4,4,5,5
712,île,tâche,nouns,0,0,1,0,0,0,0,0,0,0
713,neige,météo,nouns,0,4,2,1,2,3,1,3,1,4
714,mur,château,nouns,0,3,2,0,1,2,1,2,0,3
715,sacre,eau,nouns,0,1,0,1,1,0,0,2,0,0
716,métal,aluminium,nouns,4,4,2,2,3,3,4,5,2,4
717,vison,fourrure,nouns,0,5,5,3,4,5,1,5,6,5
718,couronne,clé,nouns,0,1,0,0,0,0,0,0,0,0
719,porte,cave,nouns,0,3,2,1,1,2,1,1,0,1
720,moissonneuse-batteuse,canne à sucre,nouns,0,3,1,0,1,0,0,1,0,0
721,émeute,dessin,nouns,0,2,0,0,0,0,0,1,0,0
722,chanson,histoire,nouns,5,3,1,1,2,1,2,2,0,3
723,télévision,acteur,nouns,0,3,2,1,2,1,1,2,1,3
724,politicien,président,nouns,1,4,3,3,4,5,4,4,5,5
725,arithmétique,rythme,nouns,0,1,0,0,0,0,0,1,0,0
726,croyance,opinion,nouns,3,5,5,4,5,4,4,6,4,5
727,lentille,appareil photo,nouns,0,4,3,3,3,3,1,2,2,4
728,jambe,bras,nouns,2,4,3,2,2,4,4,3,1,4
729,eau,glace,nouns,3,5,4,2,4,4,4,5,4,4
730,tuyau,jardin,nouns,0,4,3,1,1,0,1,1,0,0
731,échec,échouage,nouns,0,3,3,2,1,3,0,0,0,4
732,céréale,blé,nouns,6,4,4,3,4,4,4,4,4,4
733,campement,chalet,nouns,1,3,1,0,1,1,2,0,1,3
734,fenêtre,toit,nouns,1,3,2,1,1,3,2,1,1,3
735,essai,test,nouns,6,5,5,6,6,6,6,6,6,6
736,boucle,ceinture,nouns,2,4,3,2,3,3,2,2,1,4
737,liqueur,siècle,nouns,0,1,0,0,0,0,0,0,0,0
738,confort,sécurité,nouns,5,4,3,3,4,5,4,2,1,4
739,dispute,critique,nouns,1,4,4,4,1,4,3,1,2,4
740,algèbre,opération,nouns,5,4,4,2,2,2,3,3,4,5
741,femme,épouse,nouns,6,5,4,4,4,5,6,2,6,4
742,père,fille,nouns,0,3,2,1,2,4,4,2,1,3
743,croiseur,cuirassé,nouns,6,6,4,5,5,6,5,5,6,4
744,homme,enfant,nouns,1,4,2,2,2,4,4,1,1,4
745,femme,secrétaire,nouns,1,3,1,1,1,4,1,1,1,2
746,dîner,repas,nouns,6,6,5,4,4,5,5,4,6,4
747,sud,nord,nouns,1,3,3,1,1,4,4,4,1,4
748,livre,histoire,nouns,1,5,3,1,4,3,4,2,3,4
749,nihilisme,film,nouns,0,2,0,0,0,0,0,1,0,0
750,bain,ballon,nouns,0,2,0,0,0,0,0,0,0,0
751,avis,choix,nouns,1,4,3,3,5,4,1,4,3,4
752,bras,cou,nouns,0,3,2,1,1,4,3,2,1,4
753,barreau,cage,nouns,2,3,3,2,1,4,1,3,6,4
754,pistolet,fourrure,nouns,0,1,0,0,0,0,0,0,0,0
755,foule,groupe,nouns,4,5,4,5,5,6,3,4,5,4
756,nuage,météo,nouns,0,4,3,2,2,4,2,3,1,4
757,choeur,chanteur,nouns,3,4,3,2,4,3,4,4,3,4
758,colère,fureur,nouns,6,5,5,5,6,5,5,6,6,5
759,victime,téléphone,nouns,0,1,0,0,1,0,0,0,0,0
760,falaise,queue,nouns,0,1,0,0,0,0,0,0,0,0
761,lin,tissu,nouns,3,4,3,2,4,2,4,4,4,3
762,devise,change,nouns,1,5,4,2,2,4,5,5,2,4
763,corps,colonne vertébrale,nouns,1,4,2,2,2,4,1,2,1,3
764,bruine,pluie,nouns,6,6,4,4,4,4,5,5,4,5
765,neige,tempête,nouns,0,4,4,2,4,4,4,2,1,4
766,pomme,jus,nouns,0,3,3,2,4,3,2,2,1,3
767,cellule,prison,nouns,3,4,5,4,4,5,4,2,5,4
768,astéroïde,étoile,nouns,1,4,5,4,2,5,4,1,1,5
769,truite,guitare,nouns,0,1,0,0,0,0,0,0,0,0
770,chanteur,employé,nouns,0,1,0,0,1,0,0,1,0,1
771,groupe,orchestre,nouns,2,5,6,2,4,3,4,2,3,5
772,esprit,cerveau,nouns,3,4,6,4,4,4,4,3,4,3
773,épisode,chapitre,nouns,4,5,3,4,5,3,5,2,5,5
774,rondin,bois,nouns,5,4,4,3,4,4,4,1,5,4
775,épée,environnement,nouns,0,1,0,0,0,0,0,0,0,0
776,idée,image,nouns,5,3,2,2,2,4,4,5,5,4
777,germe,pathogène,nouns,6,4,3,2,4,5,5,2,1,5
778,air,hélium,nouns,1,4,2,3,2,3,3,3,2,4
779,batterie,énergie,nouns,6,1,4,4,4,3,4,4,5,4
780,péninsule,île,nouns,3,4,3,2,3,5,5,2,3,5
781,corruption,fraude,nouns,1,5,4,4,4,6,4,4,6,5
782,porte,couloir,nouns,0,3,2,2,2,4,1,1,2,3
783,collecte de fonds,événement,nouns,2,2,1,1,2,1,1,1,1,3
784,père,frère,nouns,1,3,2,1,2,4,4,2,1,5
785,avocat,galerie,nouns,0,1,0,0,0,0,0,0,0,0
786,tante,neveu,nouns,1,3,2,1,2,4,4,3,1,4
787,abeille,fourmi,nouns,1,3,2,1,2,4,4,2,1,3
788,pacte,condition,nouns,1,2,3,0,4,1,2,3,3,4
789,molécule,air,nouns,1,4,3,1,2,1,2,1,1,4
790,homme,guerrier,nouns,1,3,2,1,4,4,2,2,2,2
791,avoine,champ,nouns,0,3,2,2,2,2,1,2,1,4
792,révision,prévision,nouns,0,2,2,1,0,1,1,0,0,3
793,sandwich,déjeuner,nouns,2,4,3,1,3,3,3,2,3,4
794,calibre,parapluie,nouns,0,1,0,0,0,0,0,0,0,0
795,canapé,baseball,nouns,0,1,0,0,0,0,0,0,0,0
796,colère,humeur,nouns,1,4,4,2,4,4,3,3,2,4
797,tasse,cône,nouns,0,3,0,0,0,2,1,0,0,0
798,au-delà,purgatoire,nouns,3,5,3,4,2,5,0,2,4,0
799,lune,planète,nouns,0,4,3,1,2,5,4,1,2,3
800,porte,ouverture,nouns,0,4,4,2,3,6,2,2,4,4
801,beauté,âge,nouns,0,3,3,1,1,1,0,1,0,2
802,voiture,klaxon,nouns,0,4,3,1,2,2,2,3,1,1
803,cabine,ascenseur,nouns,4,4,2,2,2,4,4,4,3,4
804,victoire,triomphe,nouns,6,6,5,5,6,6,6,6,6,5
805,viscosité,éclaboussure,nouns,0,2,0,1,1,1,0,0,0,1
806,façon,manière,nouns,6,5,5,6,6,6,6,6,6,6
807,chaos,classe,nouns,0,2,0,0,0,0,0,0,0,1
808,bulle,mousse,nouns,3,3,4,2,2,3,3,3,1,2
809,bronchite,paracétamol,nouns,0,3,2,2,1,3,0,1,0,3
810,crédit,emprunteur,nouns,0,4,3,2,2,3,1,1,0,4
811,bal,costume,nouns,0,4,3,1,2,2,1,2,1,3
812,beurre,pomme de terre,nouns,0,3,3,1,1,3,2,1,1,2
813,névrose,esprit,nouns,0,3,3,2,3,1,1,2,2,0
814,taxi,tacot,nouns,6,6,4,4,4,5,5,3,6,5
815,acide,base,nouns,0,4,0,4,1,5,4,2,0,3
816,formule,équation,nouns,5,2,5,5,4,5,6,0,6,5
817,insecte,abeille,nouns,3,4,3,3,4,4,4,3,4,4
818,cheval,boeuf,nouns,1,3,3,2,2,3,4,1,2,3
819,homme,fraternité,nouns,0,4,2,1,1,3,2,1,1,3
820,chocolat,tarte,nouns,0,4,2,1,1,3,3,2,1,3
821,monde,globe,nouns,6,5,6,3,5,4,4,6,5,4
822,bras,os,nouns,0,4,2,1,2,3,3,3,1,3
